  00.        GENERAL
  73.40.Cg   Contact resistance, contact potential
  73.40.Ei   Rectification
  73.40.Gk   Tunneling
  73.40.Jn   Metal-to-metal contacts
  73.40.Kp   III-V semiconductor-to-semiconductor contacts, p-n junctions, and heterojunctions
  73.40.Lq   Other semiconductor-to-semiconductor contacts, p-n junctions, and heterojunctions
  73.40.Mr   Semiconductor-electrolyte contacts
  73.40.Ns   Metal-nonmetal contacts
  73.40.Qv   Metal-insulator-semiconductor structures (including semiconductor-to-insulator)
  73.40.Rw   Metal-insulator-metal structures
  73.40.Sx   Metal-semiconductor-metal structures
  73.40.Ty   Semiconductor-insulator-semiconductor structures
  73.40.Vz   Semiconductor-metal-semiconductor structures
  73.43.-f   Quantum Hall effects
  73.43.Cd   Theory and modeling
  73.43.Fj   Novel experimental methods; measurements
  73.43.Jn   Tunneling
  73.43.Lp   Collective excitations
  73.43.Nq   Quantum phase transitions
  73.43.Qt   Magnetoresistance
  73.50.-h   Electronic transport phenomena in thin films
  73.50.Bk   General theory, scattering mechanisms
  73.50.Dn   Low-field transport and mobility; piezoresistance
  73.50.Fq   High-field and nonlinear effects
  73.50.Gr   Charge carriers: generation, recombination, lifetime, trapping, mean free paths
  73.50.Jt   Galvanomagnetic and other magnetotransport effects (including thermomagnetic effects)
  73.50.Lw   Thermoelectric effects
  73.50.Mx   High-frequency effects; plasma effects
  73.50.Pz   Photoconduction and photovoltaic effects
  73.50.Rb   Acoustoelectric and magnetoacoustic effects
  73.50.Td   Noise processes and phenomena
  73.61.-r   Electrical properties of specific thin films
  73.61.At   Metal and metallic alloys
  73.61.Cw   Elemental semiconductors
  73.61.Ey   III-V semiconductors
  73.61.Ga   II-VI semiconductors
  73.61.Jc   Amorphous semiconductors; glasses
  73.61.Le   Other inorganic semiconductors
  73.61.Ng   Insulators
  73.61.Ph   Polymers; organic compounds
  73.61.Wp   Fullerenes and related materials
  73.63.-b   Electronic transport in nanoscale materials and structures
  73.63.Bd   Nanocrystalline materials
  73.63.Fg   Nanotubes
  73.63.Hs   Quantum wells
  73.63.Kv   Quantum dots
  73.63.Nm   Quantum wires
  73.63.Rt   Nanoscale contacts
  73.90.+f   Other topics in electronic structure and electrical properties of surfaces, interfaces, thin films, and low-dimensional structures (Restricted to new topics in section 73)
  74.        Superconductivity
  74.10.+v   Occurrence, potential candidates
  74.20.-z   Theories and models of superconducting state
  74.20.De   Phenomenological theories (two-fluid, Ginzburg-Landau, etc.)
  74.20.Fg   BCS theory and its development
  74.20.Mn   Nonconventional mechanisms (spin fluctuations, polarons and bipolarons, resonating valence bond model, anyon mechanism, marginal Fermi liquid, Luttinger liquid, etc.)
  74.20.Rp   Pairing symmetries (other than s-wave)
  74.25.-q   Properties of type I and type II superconductors
  74.25.Bt   Thermodynamic properties
  74.25.Dw   Superconductivity phase diagrams
  74.25.Fy   Transport properties (electric and thermal conductivity, thermoelectric effects, etc.)
  74.25.Gz   Optical properties
  74.25.Ha   Magnetic properties
  74.25.Jb   Electronic structure
  74.25.Kc   Phonons
  74.25.Ld   Mechanical and acoustical properties, elasticity, and ultrasonic attenuation
  74.25.Nf   Response to electromagnetic fields (nuclear magnetic resonance, surface impedance, etc.)
  74.25.Op   Mixed states, critical fields, and surface sheaths
  74.25.Qt   Vortex lattices, flux pinning, flux creep
  74.25.Sv   Critical currents
  74.40.+k   Fluctuations (noise, chaos, nonequilibrium superconductivity, localization, etc.)
  74.45.+c   Proximity effects; Andreev effect; SN and SNS junctions
  74.50.+r   Tunneling phenomena; point contacts, weak links, Josephson effects
  74.62.-c   Transition temperature variations
  74.62.Bf   Effects of material synthesis, crystal structure, and chemical composition
  74.62.Dh   Effects of crystal defects, doping and substitution
  74.62.Fj   Pressure effects
  74.62.Yb   Other effects
  74.70.-b   Superconducting materials
  74.70.Ad   Metals; alloys and binary compounds (including A15, MgB2, etc.)
  74.70.Dd   Ternary, quaternary and multinary compounds (including Chevrel phases, borocarbides, etc.)
  74.70.Kn   Organic superconductors
  74.70.Pq   Ruthenates
  74.70.Tx   Heavy-fermion superconductors
  74.70.Wz   Fullerenes and related materials
  74.72.-h   Cuprate superconductors (high-Tc and insulating parent compounds)
  74.72.Bk   Y-based cuprates
  74.72.Dn   La-based cuprates
  74.72.Hs   Bi-based cuprates
  74.72.Jt   Other cuprates, including Tl and Hg-based cuprates
  74.78.-w   Superconducting films and low-dimensional structures
  74.78.Bz   High-Tc films
  74.78.Db   Low-Tc films
  74.78.Fk   Multilayers, superlattices, heterostructures
  74.78.Na   Mesoscopic and nanoscale systems
  74.81.-g   Inhomogeneous superconductors and superconducting systems
  74.81.Bd   Granular, melt-textured, amorphous and composite superconductors
  74.81.Fa   Josephson junction arrays and wire networks
  74.90.+n   Other topics in superconductivity (restricted to new topics in section 74)
  75.        Magnetic properties and materials
  75.10.-b   General theory and models of magnetic ordering
  75.10.Dg   Crystal-field theory and spin Hamiltonians
  75.10.Hk   Classical spin models
  75.10.Jm   Quantized spin models
  75.10.Lp   Band and itinerant models
  75.10.Nr   Spin-glass and other random models
  75.10.Pq   Spin chain models
  75.20.-g   Diamagnetism, paramagnetism, and superparamagnetism
  75.20.Ck   Nonmetals
  75.20.En   Metals and alloys
  75.20.Hr   Local moment in compounds and alloys; Kondo effect, valence fluctuations, heavy fermions
  75.25.+z   Spin arrangements in magnetically ordered materials (including neutron and spin-polarized electron studies, synchrotron-source x-ray scattering, etc.)
  75.30.-m   Intrinsic properties of magnetically ordered materials
  75.30.Cr   Saturation moments and magnetic susceptibilities
  75.30.Ds   Spin waves
  75.30.Et   Exchange and superexchange interactions
  75.30.Fv   Spin-density waves
  75.30.Gw   Magnetic anisotropy
  75.30.Hx   Magnetic impurity interactions
  75.30.Kz   Magnetic phase boundaries (including magnetic transitions, metamagnetism, etc.)
  75.30.Mb   Valence fluctuation, Kondo lattice, and heavy-fermion phenomena
  75.30.Sg   Magnetocaloric effect, magnetic cooling
  75.30.Wx   Spin crossover
  75.40.-s   Critical-point effects, specific heats, short-range order
  75.40.Cx   Static properties (order parameter, static susceptibility, heat capacities, critical exponents, etc.)
  75.40.Gb   Dynamic properties (dynamic susceptibility, spin waves, spin diffusion, dynamic scaling, etc.)
  75.40.Mg   Numerical simulation studies
  75.45.+j   Macroscopic quantum phenomena in magnetic systems
  75.47.-m   Magnetotransport phenomena; materials for magnetotransport
  75.47.De   Giant magnetoresistance
  75.47.Gk   Colossal magnetoresistance
  75.47.Jn   Ballistic magnetoresistance
  75.47.Lx   Manganites
  75.47.Np   Metals and alloys
  75.47.Pq   Other materials
  75.50.-y   Studies of specific magnetic materials
  75.50.Bb   Fe and its alloys
  75.50.Cc   Other ferromagnetic metals and alloys
  75.50.Dd   Nonmetallic ferromagnetic materials
  75.50.Ee   Antiferromagnetics
  75.50.Gg   Ferrimagnetics
  75.50.Kj   Amorphous and quasicrystalline magnetic materials
  75.50.Lk   Spin glasses and other random magnets
  75.50.Mm   Magnetic liquids
  75.50.Pp   Magnetic semiconductors
  75.50.Ss   Magnetic recording materials
  75.50.Tt   Fine-particle systems; nanocrystalline materials
  75.50.Vv   High coercivity materials
  75.50.Ww   Permanent magnets
  75.50.Xx   Molecular magnets
  75.60.-d   Domain effects, magnetization curves, and hysteresis
  75.60.Ch   Domain walls and domain structure
  75.60.Ej   Magnetization curves, hysteresis, Barkhausen and related effects
  75.60.Jk   Magnetization reversal mechanisms
  75.60.Lr   Magnetic aftereffects
  75.60.Nt   Magnetic annealing and temperature-hysteresis effects
  75.70.-i   Magnetic properties of thin films, surfaces, and interfaces
  75.70.Ak   Magnetic properties of monolayers and thin films
  75.70.Cn   Magnetic properties of interfaces (multilayers, superlattices, heterostructures)
  75.70.Kw   Domain structure (including magnetic bubbles)
  75.70.Rf   Surface magnetism
  75.75.+a   Magnetic properties of nanostructures
  75.80.+q   Magnetomechanical and magnetoelectric effects, magnetostriction
  75.90.+w   Other topics in magnetic properties and materials (restricted to new topics in section 75)
  76.        Magnetic resonances and relaxations in condensed matter, M?ssbauer effect
  76.20.+q   General theory of resonances and relaxations
  76.30.-v   Electron paramagnetic resonance and relaxation
  76.30.Da   Ions and impurities: general
  76.30.Fc   Iron group (3d) ions and impurities (Ti-Cu)
  76.30.He   Platinum and palladium group (4d and 5d) ions and impurities (Zr-Ag and Hf-Au)
  76.30.Kg   Rare-earth ions and impurities
  76.30.Lh   Other ions and impurities
  76.30.Mi   Color centers and other defects
  76.30.Pk   Conduction electrons
  76.30.Rn   Free radicals
  76.40.+b   Diamagnetic and cyclotron resonances
  76.50.+g   Ferromagnetic, antiferromagnetic, and ferrimagnetic resonances; spin-wave resonance
  76.60.-k   Nuclear magnetic resonance and relaxation
  76.60.Cq   Chemical and Knight shifts
  76.60.Es   Relaxation effects
  76.60.Gv   Quadrupole resonance
  76.60.Jx   Effects of internal magnetic fields
  76.60.Lz   Spin echoes
  76.60.Pc   NMR imaging
  76.70.-r   Magnetic double resonances and cross effects
  76.70.Dx   Electron-nuclear double resonance (ENDOR), electron double resonance (ELDOR)
  76.70.Fz   Double nuclear magnetic resonance (DNMR), dynamical nuclear polarization
  76.70.Hb   Optically detected magnetic resonance (ODMR)
  76.75.+i   Muon spin rotation and relaxation
  76.80.+y   M?ssbauer effect; other gamma-ray spectroscopy
  76.90.+d   Other topics in magnetic resonances and relaxations (restricted to new topics in section 76)
  77.        Dielectrics, piezoelectrics, and ferroelectrics and their properties
  77.22.-d   Dielectric properties of solids and liquids
  77.22.Ch   Permittivity (dielectric function)
  77.22.Ej   Polarization and depolarization
  77.22.Gm   Dielectric loss and relaxation
  77.22.Jp   Dielectric breakdown and space-charge effects
  77.55.+f   Dielectric thin films
  77.65.-j   Piezoelectricity and electromechanical effects
  77.65.Bn   Piezoelectric and electrostrictive constants
  77.65.Dq   Acoustoelectric effects and surface acoustic waves (SAW) in piezoelectrics
  77.65.Fs   Electromechanical resonance; quartz resonators
  77.65.Ly   Strain-induced piezoelectric fields
  77.70.+a   Pyroelectric and electrocaloric effects
  77.80.-e   Ferroelectricity and antiferroelectricity
  77.80.Bh   Phase transitions and Curie point
  77.80.Dj   Domain structure; hysteresis
  77.80.Fm   Switching phenomena
  77.84.-s   Dielectric, piezoelectric, ferroelectric, and antiferroelectric materials
  77.84.Bw   Elements, oxides, nitrides, borides, carbides, chalcogenides, etc.
  77.84.Dy   Niobates, titanates, tantalates, PZT ceramics, etc.
  77.84.Fa   KDP- and TGS-type crystals
  77.84.Jd   Polymers; organic compounds
  77.84.Lf   Composite materials
  77.84.Nh   Liquids, emulsions, and suspensions; liquid crystals
  77.90.+k   Other topics in dielectrics, piezoelectrics, and ferroelectrics and their properties (restricted to new topics in section 77)
  78.        Optical properties, condensed-matter spectroscopy and other interactions of radiation and particles with condensed matter
  78.20.-e   Optical properties of bulk materials and thin films
  78.20.Bh   Theory, models, and numerical simulation
  78.20.Ci   Optical constants (including refractive index, complex dielectric constant, absorption, reflection and transmission coefficients, emissivity)
  78.20.Ek   Optical activity
  78.20.Fm   Birefringence
  78.20.Hp   Piezo-, elasto-, and acoustooptical effects; photoacoustic effects
  78.20.Jq   Electrooptical effects
  78.20.Ls   Magnetooptical effects
  78.20.Nv   Thermooptical and photothermal effects
  78.30.-j   Infrared and Raman spectra
  78.30.Am   Elemental semiconductors and insulators
  78.30.Cp   Liquids
  78.30.Er   Solid metals and alloys
  78.30.Fs   III-V and II-VI semiconductors
  78.30.Hv   Other nonmetallic inorganics
  78.30.Jw   Organic compounds, polymers
  78.30.Ly   Disordered solids
  78.30.Na   Fullerenes and related materials
  78.35.+c   Brillouin and Rayleigh scattering; other light scattering
  78.40.-q   Absorption and reflection spectra: visible and ultraviolet
  78.40.Dw   Liquids
  78.40.Fy   Semiconductors
  78.40.Ha   Other nonmetallic inorganics
  78.40.Kc   Metals, semimetals, and alloys
  78.40.Me   Organic compounds and polymers
  78.40.Pg   Disordered solids
  78.40.Ri   Fullerenes and related materials
  78.45.+h   Stimulated emission
  78.47.+p   Time-resolved optical spectroscopies and other ultrafast optical measurements in condensed matter
  78.55.-m   Photoluminescence, properties and materials
  78.55.Ap   Elemental semiconductors
  78.55.Bq   Liquids
  78.55.Cr   III-V semiconductors
  78.55.Et   II-VI semiconductors
  78.55.Fv   Solid alkali halides
  78.55.Hx   Other solid inorganic materials
  78.55.Kz   Solid organic materials
  78.55.Mb   Porous materials
  78.55.Qr   Amorphous materials; glasses and other disordered solids
  78.60.-b   Other luminescence and radiative recombination
  78.60.Fi   Electroluminescence
  78.60.Hk   Cathodoluminescence, ionoluminescence
  78.60.Kn   Thermoluminescence
  78.60.Mq   Sonoluminescence, triboluminescence
  78.60.Ps   Chemiluminescence
  78.66.-w   Optical properties of specific thin films
  78.66.Bz   Metals and metallic alloys
  78.66.Db   Elemental semiconductors and insulators
  78.66.Fd   III-V semiconductors
  78.66.Hf   II-VI semiconductors
  78.66.Jg   Amorphous semiconductors; glasses
  78.66.Li   Other semiconductors
  78.66.Nk   Insulators
  78.66.Qn   Polymers; organic compounds
  78.66.Sq   Composite materials
  78.66.Tr   Fullerenes and related materials
  78.66.Vs   Fine-particle systems
  78.67.-n   Optical properties of low-dimensional, mesoscopic, and nanoscale materials and structures
  78.67.Bf   Nanocrystals and nanoparticles
  78.67.Ch   Nanotubes
  78.67.De   Quantum wells
  78.67.Hc   Quantum dots
  78.67.Lt   Quantum wires
  78.67.Pt   Multilayers; superlattices
  78.68.+m   Optical properties of surfaces
  78.70.-g   Interactions of particles and radiation with matter
  78.70.Bj   Positron annihilation
  78.70.Ck   X-ray scattering
  78.70.Dm   X-ray absorption spectra
  78.70.En   X-ray emission spectra and fluorescence
  78.70.Gq   Microwave and radio-frequency interactions
  78.70.Nx   Neutron inelastic scattering
  78.90.+t   Other topics in optical properties, condensed matter spectroscopy and other interactions of particles and radiation with condensed matter (restricted to new topics in section 78)
  79.        Electron and ion emission by liquids and solids; impact phenomena
  79.20.-m   Impact phenomena (including electron spectra and sputtering)
  79.20.Ap   Theory of impact phenomena; numerical simulation
  79.20.Ds   Laser-beam impact phenomena
  79.20.Fv   Electron impact: Auger emission
  79.20.Hx   Electron impact: secondary emission
  79.20.Kz   Other electron-impact emission phenomena
  79.20.La   Photon- and electron-stimulated desorption
  79.20.Mb   Positron emission
  79.20.Rf   Atomic, molecular, and ion beam impact and interactions with surfaces
  79.20.Uv   Electron energy loss spectroscopy
  79.40.+z   Thermionic emission
  79.60.-i   Photoemission and photoelectron spectra
  79.60.Bm   Clean metal, semiconductor, and insulator surfaces
  79.60.Dp   Adsorbed layers and thin films
  79.60.Fr   Polymers; organic compounds
  79.60.Ht   Disordered structures
  79.60.Jv   Interfaces; heterostructures; nanostructures
  79.70.+q   Field emission, ionization, evaporation, and desorption
  79.75.+g   Exoelectron emission
  79.90.+b   Other topics in electron and ion emission by liquids and solids and impact phenomena (restricted to new topics in section 79)
  80.        INTERDISCIPLINARY PHYSICS AND RELATED AREAS OF SCIENCE AND TECHNOLOGY
  81.        Materials science
  81.05.-t   Specific materials: fabrication, treatment, testing and analysis
  81.05.Bx   Metals, semimetals, and alloys
  81.05.Cy   Elemental semiconductors
  81.05.Dz   II-VI semiconductors
  81.05.Ea   III-V semiconductors
  81.05.Gc   Amorphous semiconductors
  81.05.Hd   Other semiconductors
  81.05.Je   Ceramics and refractories (including borides, carbides, hydrides, nitrides, oxides, and silicides)
  81.05.Kf   Glasses (including metallic glasses)
  81.05.Lg   Polymers and plastics; rubber; synthetic and natural fibers; organometallic and organic materials
  81.05.Mh   Cermets, ceramic and refractory composites
  81.05.Ni   Dispersion-, fiber-, and platelet-reinforced metal-based composites
  81.05.Pj   Glass-based composites, vitroceramics
  81.05.Qk   Reinforced polymers and polymer-based composites
  81.05.Rm   Porous materials; granular materials
  81.05.Tp   Fullerenes and related materials
  81.05.Uw   Carbon, diamond, graphite
  81.05.Zx   New materials: theory, design, and fabrication
  81.07.-b   Nanoscale materials and structures: fabrication and characterization
  81.07.Bc   Nanocrystalline materials
  81.07.De   Nanotubes
  81.07.Lk   Nanocontacts
  81.07.Nb   Molecular nanostructures
  81.07.Pr   Organic-inorganic hybrid nanostructures
  81.07.St   Quantum wells
  81.07.Ta   Quantum dots
  81.07.Vb   Quantum wires
  81.07.Wx   Nanopowders
  81.10.-h   Methods of crystal growth; physics of crystal growth
  81.10.Aj   Theory and models of crystal growth; physics of crystal growth, crystal morphology and orientation
  81.10.Bk   Growth from vapor
  81.10.Dn   Growth from solutions
  81.10.Fq   Growth from melts; zone melting and refining
  81.10.Jt   Growth from solid phases (including multiphase diffusion and recrystallization)
  81.10.Mx   Growth in microgravity environments
  81.15.-z   Methods of deposition of films and coatings; film growth and epitaxy
  81.15.Aa   Theory and models of film growth
  81.15.Cd   Deposition by sputtering
  81.15.Ef   Vacuum deposition
  81.15.Fg   Laser deposition
  81.15.Gh   Chemical vapor deposition (including plasma-enhanced CVD, MOCVD, etc.)
  81.15.Hi   Molecular, atomic, ion, and chemical beam epitaxy
  81.15.Jj   Ion and electron beam-assisted deposition; ion plating
  81.15.Kk   Vapor phase epitaxy; growth from vapor phase
  81.15.Lm   Liquid phase epitaxy; deposition from liquid phases (melts, solutions, and surface layers on liquids)
  81.15.Np   Solid phase epitaxy; growth from solid phases
  81.15.Pq   Electrodeposition, electroplating
  81.15.Rs   Spray coating techniques
  81.16.-c   Methods of nanofabrication and processing
  81.16.Be   Chemical synthesis methods
  81.16.Dn   Self-assembly
  81.16.Fg   Supramolecular and biochemical assembly
  81.16.Hc   Catalytic methods
  81.16.Mk   Laser-assisted deposition
  81.16.Nd   Nanolithography
  81.16.Pr   Nanooxidation
  81.16.Rf   Nanoscale pattern formation
  81.16.Ta   Atom manipulation
  81.20.-n   Methods of materials synthesis and materials processing
  81.20.Ev   Powder processing: powder metallurgy, compaction, sintering, mechanical alloying, and granulation
  81.20.Fw   Sol-gel processing, precipitation
  81.20.Hy   Forming; molding, extrusion etc.
  81.20.Ka   Chemical synthesis; combustion synthesis
  81.20.Rg   Aerosols in materials synthesis and processing
  81.20.Vj   Joining; welding
  81.20.Wk   Machining, milling
  81.20.Ym   Purification
  81.30.-t   Phase diagrams and microstructures developed by solidification and solid-solid phase transformations
  81.30.Bx   Phase diagrams of metals and alloys
  81.30.Dz   Phase diagrams of other materials
  81.30.Fb   Solidification
  81.30.Hd   Constant-composition solid-solid phase transformations: polymorphic, massive, and order-disorder
  81.30.Kf   Martensitic transformations
  81.30.Mh   Solid-phase precipitation
  81.40.-z   Treatment of materials and its effects on microstructure and properties
  81.40.Cd   Solid solution hardening, precipitation hardening, and dispersion hardening; aging
  81.40.Ef   Cold working, work hardening; annealing, post-deformation annealing, quenching, tempering recovery, and crystallization
  81.40.Gh   Other heat and thermomechanical treatments
  81.40.Jj   Elasticity and anelasticity, stress-strain relations
  81.40.Lm   Deformation, plasticity, and creep
  81.40.Np   Fatigue, corrosion fatigue, embrittlement, cracking, fracture and failure
  81.40.Pq   Friction, lubrication, and wear
  81.40.Rs   Electrical and magnetic properties (related to treatment conditions)
  81.40.Tv   Optical and dielectric properties (related to treatment conditions)
  81.40.Vw   Pressure treatment
  81.40.Wx   Radiation treatment (particle and electromagnetic)
  81.65.-b   Surface treatments
  81.65.Cf   Surface cleaning, etching, patterning
  81.65.Kn   Corrosion protection
  81.65.Lp   Surface hardening: nitridation, carburization, carbonitridation
  81.65.Mq   Oxidation
  81.65.Ps   Polishing, grinding, surface finishing
  81.65.Rv   Passivation
  81.65.Tx   Gettering
  81.70.-q   Methods of materials testing and analysis
  81.70.Bt   Mechanical testing, impact tests, static and dynamic loads
  81.70.Cv   Nondestructive testing: ultrasonic testing, photoacoustic testing
  81.70.Ex   Nondestructive testing: electromagnetic testing, eddy-current testing
  81.70.Fy   Nondestructive testing: optical methods
  81.70.Ha   Testing in microgravity environments
  81.70.Jb   Chemical composition analysis, chemical depth and dopant profiling
  81.70.Pg   Thermal analysis, differential thermal analysis (DTA), differential thermogravimetric analysis
  81.70.Tx   Computed tomography
  81.90.+c   Other topics in materials science (restricted to new topics in section 81)
  82.        Physical chemistry and chemical physics
  82.20.-w   Chemical kinetics and dynamics
  82.20.Bc   State selected dynamics and product distribution
  82.20.Db   Transition state theory and statistical theories of rate constants
  82.20.Ej   Quantum theory of reaction cross section
  82.20.Fd   Collision theories; trajectory models
  82.20.Gk   Electronically non-adiabatic reactions
  82.20.Hf   Product distribution
  82.20.Kh   Potential energy surfaces for chemical reactions
  82.20.Ln   Semiclassical theory of reactions and/or energy transfer
  82.20.Nk   Classical theories of reactions and/or energy transfer
  82.20.Pm   Rate constants, reaction cross sections, and activation energies
  82.20.Rp   State to state energy transfer
  82.20.Sb   Correlation function theory of rate constants and its applications
  82.20.Tr   Kinetic isotope effects including muonium
  82.20.Uv   Stochastic theories of rate constants
  82.20.Wt   Computational modeling; simulation
  82.20.Xr   Quantum effects in rate constants (tunneling, resonances, etc.)
  82.20.Yn   Solvent effects on reactivity
  82.30.-b   Specific chemical reactions; reaction mechanisms
  82.30.Cf   Atom and radical reactions; chain reactions; molecule-molecule reactions
  82.30.Fi   Ion-molecule, ion-ion, and charge-transfer reactions
  82.30.Gg   Positronium chemistry
  82.30.Hk   Chemical exchanges (substitution, atom transfer, abstraction, disproportionation, and group exchange)
  82.30.Lp   Decomposition reactions (pyrolysis, dissociation, and fragmentation)
  82.30.Nr   Association, addition, insertion, cluster formation
  82.30.Qt   Isomerization and rearrangement
  82.30.Rs   Hydrogen bonding, hydrophilic effects
  82.30.Vy   Homogeneous catalysis in solution, polymers and zeolites
  82.33.-z   Reactions in various media
  82.33.De   Reactions in supercritical fluids
  82.33.Fg   Reactions in clusters
  82.33.Hk   Reactions on clusters
  82.33.Jx   Reactions in zeolites
  82.33.Ln   Reactions in sol gels, aerogels, porous media
  82.33.Nq   Reactions in micells
  82.33.Pt   Solid state chemistry
  82.33.Tb   Atmospheric chemistry
  82.33.Vx   Reactions in flames, combustion, and explosions
  82.33.Xj   Plasma reactions (including flowing afterglow and electric discharges)
  82.33.Ya   Chemistry of MOCVD and other vapor deposition methods
  82.35.-x   Polymers: properties; reactions; polymerization
  82.35.Cd   Conducting polymers
  82.35.Ej   Nonlinear optics with polymers
  82.35.Gh   Polymers on surfaces; adhesion
  82.35.Jk   Copolymers, phase transitions, structure
  82.35.Lr   Physical properties of polymers
  82.35.Np   Nanoparticles in polymers
  82.35.Pq   Biopolymers, biopolymerization
  82.35.Rs   Polyelectrolytes
  82.37.-j   Single molecule kinetics
  82.37.Gk   STM and AFM manipulations of a single molecule
  82.37.Np   Single molecule reaction kinetics, dissociation, etc.
  82.37.Rs   Single molecule manipulation of proteins and other biological molecules
  82.37.Vb   Single molecule photochemistry
  82.39.-k   Chemical kinetics in biological systems
  82.39.Fk   Enzyme kinetics
  82.39.Jn   Charge (electron, proton) transfer in biological systems
  82.39.Pj   Nucleic acids, DNA and RNA bases
  82.39.Rt   Reactions in complex biological systems
  82.39.Wj   Ion exchange, dialysis, osmosis, electro-osmosis, membrane processes
  82.40.-g   Chemical kinetics and reactions: special regimes and techniques
  82.40.Bj   Oscillations, chaos, and bifurcations
  82.40.Ck   Pattern formation in reactions with diffusion, flow and heat transfer
  82.40.Fp   Shock wave initiated reactions, high-pressure chemistry
  82.40.Np   Temporal and spatial patterns in surface reactions
  82.40.Qt   Complex chemical systems
  82.45.-h   Electrochemistry and electrophoresis
  82.45.Aa   Electrochemical synthesis
  82.45.Bb   Corrosion and passivation
  82.45.Cc   Anodic films
  82.45.Fk   Electrodes
  82.45.Gj   Electrolytes
  82.45.Hk   Electrolysis
  82.45.Jn   Surface structure, reactivity and catalysis
  82.45.Mp   Thin layers, films, monolayers, membranes
  82.45.Qr   Electrodeposition and electrodissolution
  82.45.Rr   Electroanalytical chemistry
  82.45.Tv   Bioelectrochemistry
  82.45.Un   Dielectric materials in electrochemistry
  82.45.Vp   Semiconductor materials in electrochemistry
  82.45.Wx   Polymers and organic materials in electrochemistry
  82.45.Xy   Ceramics in electrochemistry
  82.45.Yz   Nanostructured materials in electrochemistry
  82.47.-a   Applied electrochemistry
  82.47.Aa   Lithium-ion batteries
  82.47.Cb   Lead-acid, nickel-metal hydride and other batteries
  82.47.Ed   Solid-oxide fuel cells (SOFC)
  82.47.Gh   Proton exchange membrane (PEM) fuel cells
  82.47.Jk   Photoelectrochemical cells, photoelectrochromic and other hybrid electrochemical energy storage devices
  82.47.Lh   Molten-carbonate fuel cells (MCFC)
  82.47.Nj   Polymer-electrolyte fuel cells (PEFC)
  82.47.Pm   Phosphoric-acid fuel cells (PAFC); other fuel cells
  82.47.Rs   Electrochemical sensors
  82.47.Tp   Electrochemical displays
  82.47.Uv   Electrochemical capacitors; supercapacitors
  82.47.Wx   Electrochemical engineering
  82.50.-m   Photochemistry
  82.50.Bc   Processes caused by infrared radiation
  82.50.Hp   Processes caused by visible and UV light
  82.50.Kx   Processes caused by X-rays or gamma-rays
  82.50.Nd   Control of photochemical reactions
  82.50.Pt   Multiphoton processes
  82.53.-k   Femtochemistry
  82.53.Eb   Pump probe studies of photodissociation
  82.53.Hn   Pump probe experiments with bound states
  82.53.Kp   Coherent spectroscopy of atoms and molecules
  82.53.Mj   Femtosecond probing of semiconductor nanostructures
  82.53.Ps   Femtosecond probing of biological molecules
  82.53.St   Femtochemistry of adsorbed molecules
  82.53.Uv   Femtosecond probes of molecules in liquids
  82.53.Xa   Femtosecond probes of molecules in solids and of molecular solids
  82.56.-b   Nuclear magnetic resonance
  82.56.Dj   High resolution NMR
  82.56.Fk   Multidemensional NMR
  82.56.Hg   Multinuclear NMR
  82.56.Jn   Pulse sequences in NMR
  82.56.Lz   Diffusion
  82.56.Na   Relaxation
  82.56.Pp   NMR of biomolecules
  82.56.Ub   Structure determination with NMR
  82.60.-s   Chemical thermodynamics
  82.60.Cx   Enthalpies of combustion, reaction, and formation
  82.60.Fa   Heat capacities and heats of phase transitions
  82.60.Hc   Chemical equilibria and equilibrium constants
  82.60.Lf   Thermodynamics of solutions
  82.60.Nh   Thermodynamics of nucleation
  82.60.Qr   Thermodynamics of nanoparticles
  82.65.+r   Surface and interface chemistry; heterogeneous catalysis at surfaces
  82.70.-y   Disperse systems; complex fluids
  82.70.Dd   Colloids
  82.70.Gg   Gels and sols
  82.70.Kj   Emulsions and suspensions
  82.70.Rr   Aerosols and foams
  82.70.Uv   Surfactants, micellar solutions, vesicles, lamellae, amphiphilic systems, (hydrophilic and hydrophobic interactions)
  82.75.-z   Molecular sieves, zeolites, clathrates, and other complex solids
  82.75.Fq   Synthesis, structure determination, structure modeling
  82.75.Jn   Measurements and modeling of molecule migration in zeolites
  82.75.Mj   Measurements and simulation of properties (optical, structural) of molecules in zeolites
  82.75.Qt   Mechanism and kinetics of catalysis in zeolites (measurements or simulations)
  82.75.Vx   Clusters in zeolites
  82.80.-d   Chemical analysis and related physical methods of analysis
  82.80.Bg   Chromatography
  82.80.Dx   Analytical methods involving electronic spectroscopy
  82.80.Ej   X-ray, M?ssbauer, and other gamma-ray spectroscopic analysis methods
  82.80.Fk   Electrochemical methods
  82.80.Gk   Analytical methods involving vibrational spectroscopy
  82.80.Ha   Analytical methods involving rotational spectroscopy
  82.80.Jp   Activation analysis and other radiochemical methods
  82.80.Kq   Energy-conversion spectro-analytical methods (e.g., photoacoustic, photothermal, and optogalvanic spectroscopic methods)
  82.80.Ms   Mass spectrometry (including SIMS, multiphoton ionization and resonance ionization mass spectrometry, MALDI)
  82.80.Nj   Fourier transform mass spectrometry
  82.80.Pv   Electron spectroscopy (x-ray photoelectron (XPS), Auger electron spectroscopy (AES), etc.)
  82.80.Qx   Ion cyclotron resonance mass spectrometry
  82.80.Rt   Time of flight mass spectrometry
